plot_id,sample_id,lon,lat,email,flagged,collection_time,analysis_duration,imagery_title,imagery_attributions,sample_geom,pl_plotid,pl_oldplotid,"Land cover, 2019",Change?,Change type?,Driver of degradation?,Deforestation type,Confidence,Year of change
140960042,570223122,105.773256,16.66460192,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:46,384.2 secs,Planet NICFI Public,,POINT(105.773256 16.66460192),15,140738393,forest,no,,,,low,
140960043,570223123,106.5211035,16.52473423,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:50,230.4 secs,Planet NICFI Public,,POINT(106.5211035 16.52473423),16,140738376,forest,yes,forest degradation,shifting agriculture,,medium,2016
140960044,570223124,106.1411161,16.96185445,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:54,268.4 secs,Planet NICFI Public,,POINT(106.1411161 16.96185445),17,139430129,forest,yes,forest degradation,shifting agriculture,,medium,2016
140960045,570223125,105.5202006,16.92035228,j.ferrand@forestcarbon.com,FALSE,7/14/2021 6:57,172.5 secs,Planet NICFI Public,,POINT(105.5202006 16.92035228),18,139378041,forest,yes,forest degradation,selective logging,,low,2017
140960046,570223126,106.1068903,16.87049578,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:23,5143.1 secs,Planet NICFI Public,,POINT(106.1068903 16.87049578),19,139378038,forest,yes,forest degradation,shifting agriculture,,low,2018
140960047,570223127,105.6940246,16.74598928,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:27,250.4 secs,Planet NICFI Public,,POINT(105.6940246 16.74598928),20,139378040,forest,no,,,,low,
140960048,570223128,105.6118288,16.67726817,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:29,96.7 secs,Planet NICFI Public,,POINT(105.6118288 16.67726817),21,140738411,forest,yes,forest degradation,other,,low,2019
140960049,570223129,106.2966145,16.56812286,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:32,179.2 secs,Planet NICFI Public,,POINT(106.2966145 16.56812286),22,140738345,forest,yes,forest degradation,shifting agriculture,,high,2016
140960050,570223130,106.6391421,16.31479795,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:40,469.2 secs,Planet NICFI Public,,POINT(106.6391421 16.31479795),23,140738339,forest,no,,,,medium,
140960051,570223131,104.8036145,16.84947521,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:44,287.5 secs,Planet NICFI Public,,POINT(104.8036145 16.84947521),24,139430122,forest,yes,forest degradation,other,,medium,2018
140960052,570223132,106.3187131,16.72658567,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:50,341.1 secs,Planet NICFI Public,,POINT(106.3187131 16.72658567),25,139430128,forest,yes,forest degradation,other,,medium,2018
140960053,570223133,106.2882602,16.42744668,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:53,152.6 secs,Planet NICFI Public,,POINT(106.2882602 16.42744668),26,140738357,forest,no,,,,low,
140960054,570223134,106.6345607,16.54764127,j.ferrand@forestcarbon.com,FALSE,7/14/2021 8:58,266.8 secs,Mapbox Satellite,,POINT(106.6345607 16.54764127),27,140742371,forest,no,,,,low,
140960055,570223135,105.2334584,16.98368351,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:00,131.9 secs,Planet NICFI Public,,POINT(105.2334584 16.98368351),28,139377990,forest,no,,,,low,
140960056,570223136,105.7371437,16.41531943,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:11,651.1 secs,Planet NICFI Public,,POINT(105.7371437 16.41531943),29,140738403,forest,no,,,,medium,
140960057,570223137,105.3447596,16.72928062,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:18,446.7 secs,Planet NICFI Public,,POINT(105.3447596 16.72928062),30,139377975,forest,yes,forest degradation,selective logging,,medium,2018
140960058,570223138,106.6132706,16.32665571,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:24,334.3 secs,Planet NICFI Public,,POINT(106.6132706 16.32665571),31,139378037,forest,no,,,,low,
140960059,570223139,105.6137152,16.92628116,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:27,178.4 secs,Planet NICFI Public,,POINT(105.6137152 16.92628116),32,139378023,forest,yes,forest degradation,selective logging,,low,2019
140960060,570223140,106.3831223,16.81875282,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:30,168.0 secs,Planet NICFI Public,,POINT(106.3831223 16.81875282),33,139377979,forest,yes,forest degradation,selective logging,,high,2018
140960061,570223141,105.9527394,16.68319705,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:34,262.5 secs,Planet NICFI Public,,POINT(105.9527394 16.68319705),34,140742375,forest,yes,forest degradation,shifting agriculture,,high,2017
140960062,570223142,106.1478535,16.84543279,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:36,150.5 secs,Planet NICFI Public,,POINT(106.1478535 16.84543279),35,139378034,non-forest,yes,forest loss,,agriculture,low,2017
140960063,570223143,106.6240504,16.35279668,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:40,207.8 secs,Planet NICFI Public,,POINT(106.6240504 16.35279668),36,140738341,forest,no,,,,medium,
140960064,570223144,105.8357788,16.40723459,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:43,177.9 secs,Planet NICFI Public,,POINT(105.8357788 16.40723459),37,140738394,forest,no,,,,low,
140960065,570223145,105.2003105,16.3021317,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:48,275.7 secs,Planet NICFI Public,,POINT(105.2003105 16.3021317),38,140742380,forest,yes,forest degradation,other,,high,2018
140960066,570223146,106.348088,16.36734939,j.ferrand@forestcarbon.com,FALSE,7/14/2021 10:25,20.7 secs,Planet NICFI Public,,POINT(106.348088 16.36734939),39,140738348,forest,no,,,,low,
140960067,570223147,106.1421941,16.85217015,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:51,64.7 secs,Planet NICFI Public,,POINT(106.1421941 16.85217015),40,139378033,non-forest,yes,forest loss,,agriculture,low,2017
140960068,570223148,106.4313618,16.30320968,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:57,363.3 secs,Planet NICFI Public,,POINT(106.4313618 16.30320968),41,139377988,forest,no,,,,high,
140960069,570223149,106.2251984,17.01817882,j.ferrand@forestcarbon.com,FALSE,7/14/2021 9:59,115.2 secs,Planet NICFI Public,,POINT(106.2251984 17.01817882),42,139377991,forest,no,,,,medium,
140960070,570223150,105.9473495,16.06605445,j.ferrand@forestcarbon.com,FALSE,7/14/2021 10:01,134.8 secs,Planet NICFI Public,,POINT(105.9473495 16.06605445),43,140738347,forest,no,,,,medium,
140960071,570223151,106.1179396,16.56300246,j.ferrand@forestcarbon.com,FALSE,7/14/2021 10:05,215.4 secs,Planet NICFI Public,,POINT(106.1179396 16.56300246),44,139378036,forest,yes,forest degradation,shifting agriculture,,medium,2018
140960072,570223152,105.8026309,17.04566726,j.ferrand@forestcarbon.com,FALSE,7/14/2021 10:09,224.6 secs,Planet NICFI Public,,POINT(105.8026309 17.04566726),45,139377987,forest,yes,forest degradation,other,,medium,2016
140960073,570223153,105.6538699,15.9439734,j.ferrand@forestcarbon.com,FALSE,7/14/2021 10:10,81.5 secs,Planet NICFI Public,,POINT(105.6538699 15.9439734),46,140738396,forest,no,,,,medium,
140960074,570223154,106.5472445,16.43041113,j.ferrand@forestcarbon.com,FALSE,7/14/2021 10:14,271.5 secs,Planet NICFI Public,,POINT(106.5472445 16.43041113),47,140742377,forest,yes,forest degradation,other,,low,2016
140960075,570223155,106.1351873,16.55734308,j.ferrand@forestcarbon.com,FALSE,7/14/2021 10:23,524.4 secs,Sentinel 2 Data,,POINT(106.1351873 16.55734308),48,139378024,forest,yes,forest degradation,selective logging,,medium,2016
